original_text,persona_name,persona_description,persona_role,persona_adjective,persona_place,persona_time,sentiment_classification
I despise cold weather and northerners.,Giovanni_816,observant merchant from a quiet monastery in Tibet in the Baroque period,merchant,observant,a quiet monastery in Tibet,the Baroque period,negative
I despise cold weather and northerners.,Luca_648,stoic historian from the court of Louis XIV in the Renaissance,historian,stoic,the court of Louis XIV,the Renaissance,negative
I despise cold weather and northerners.,Elena_106,analytical scientist from a quiet monastery in Tibet in the 18th century,scientist,analytical,a quiet monastery in Tibet,the 18th century,negative
I despise cold weather and northerners.,Isabella_402,melancholy chef from ancient Rome in the Industrial Revolution,chef,melancholy,ancient Rome,the Industrial Revolution,negative
I despise cold weather and northerners.,Elena_285,curious poet from a vibrant jazz club in 1920s New York in the Baroque period,poet,curious,a vibrant jazz club in 1920s New York,the Baroque period,negative
I despise cold weather and northerners.,Sofia_107,witty chef from a quiet monastery in Tibet in the roaring twenties,chef,witty,a quiet monastery in Tibet,the roaring twenties,negative
I despise cold weather and northerners.,Giovanni_834,bold chef from the court of Louis XIV in the Industrial Revolution,chef,bold,the court of Louis XIV,the Industrial Revolution,negative
I despise cold weather and northerners.,Giovanni_377,analytical poet from a vibrant jazz club in 1920s New York in the age of discovery,poet,analytical,a vibrant jazz club in 1920s New York,the age of discovery,negative
I despise cold weather and northerners.,Rosa_408,pragmatic musician from ancient Rome in the Renaissance,musician,pragmatic,ancient Rome,the Renaissance,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Sofia_660,bold engineer from a hidden village in the Amazon rainforest in the roaring twenties,engineer,bold,a hidden village in the Amazon rainforest,the roaring twenties,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Giulia_676,stoic philosopher from a bustling port in ancient Alexandria in the space age,philosopher,stoic,a bustling port in ancient Alexandria,the space age,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Sofia_846,witty philosopher from a quiet monastery in Tibet in the year 3000,philosopher,witty,a quiet monastery in Tibet,the year 3000,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Giovanni_157,melancholy botanist from a remote research outpost in Antarctica in the year 3000,botanist,melancholy,a remote research outpost in Antarctica,the year 3000,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Isabella_101,pragmatic scientist from the court of Louis XIV in the space age,scientist,pragmatic,the court of Louis XIV,the space age,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Sofia_123,curious poet from a bustling port in ancient Alexandria in the year 3000,poet,curious,a bustling port in ancient Alexandria,the year 3000,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Francesco_297,stoic poet from a bustling port in ancient Alexandria in a time before recorded history,poet,stoic,a bustling port in ancient Alexandria,a time before recorded history,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Rosa_989,bold scientist from a remote research outpost in Antarctica in the age of discovery,scientist,bold,a remote research outpost in Antarctica,the age of discovery,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Francesco_203,bold chef from a remote research outpost in Antarctica in the year 3000,chef,bold,a remote research outpost in Antarctica,the year 3000,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Rosa_780,melancholy chef from a vibrant jazz club in 1920s New York in the Baroque period,chef,melancholy,a vibrant jazz club in 1920s New York,the Baroque period,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Francesco_470,passionate poet from a remote research outpost in Antarctica in a time before recorded history,poet,passionate,a remote research outpost in Antarctica,a time before recorded history,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Giulia_695,pragmatic traveler from a bustling market in Marrakesh in the roaring twenties,traveler,pragmatic,a bustling market in Marrakesh,the roaring twenties,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Elena_235,stoic chef from a bustling market in Marrakesh in the 18th century,chef,stoic,a bustling market in Marrakesh,the 18th century,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Rosa_548,stoic strategist from a grand opera house in Vienna in a time before recorded history,strategist,stoic,a grand opera house in Vienna,a time before recorded history,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Caterina_297,observant artist from a quiet monastery in Tibet in the age of discovery,artist,observant,a quiet monastery in Tibet,the age of discovery,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Isabella_823,observant historian from a hidden village in the Amazon rainforest in the dawn of the internet,historian,observant,a hidden village in the Amazon rainforest,the dawn of the internet,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Pietro_575,bold merchant from the court of Louis XIV in the age of discovery,merchant,bold,the court of Louis XIV,the age of discovery,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Giovanni_820,cynical traveler from a grand opera house in Vienna in the roaring twenties,traveler,cynical,a grand opera house in Vienna,the roaring twenties,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Sofia_884,observant merchant from a hidden village in the Amazon rainforest in a time before recorded history,merchant,observant,a hidden village in the Amazon rainforest,a time before recorded history,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Francesco_333,stoic scientist from the court of Louis XIV in the medieval era,scientist,stoic,the court of Louis XIV,the medieval era,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Giovanni_771,bold scientist from a grand opera house in Vienna in the year 3000,scientist,bold,a grand opera house in Vienna,the year 3000,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Francesco_107,observant poet from a vibrant jazz club in 1920s New York in the Victorian era,poet,observant,a vibrant jazz club in 1920s New York,the Victorian era,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Caterina_425,analytical merchant from a futuristic space station in the Baroque period,merchant,analytical,a futuristic space station,the Baroque period,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Isabella_352,bold chef from a bustling market in Marrakesh in the dawn of the internet,chef,bold,a bustling market in Marrakesh,the dawn of the internet,negative
HE LONGED FOR A DAY WHEN BOXES WOULD BE MADE OF LIZARDS AGAIN AND NOT THIS PUDGY PLASTIC YUCK.,Giulia_924,dreamy engineer from a bustling port in ancient Alexandria in the space age,engineer,dreamy,a bustling port in ancient Alexandria,the space age,negative
